"","X","AreaStr","val_th","Ass","Bur","Mur","Rob","The","Mvt","Const","AreaSqM","type","prop_sqm","PAI_val_th","PAI_Ass","PAI_Bur","PAI_Mur","PAI_Rob","PAI_The","PAI_Mvt","LenMile","prop_len","PAI_valth_len"
"53",53,"53",550.159,17,41,2,17,52,27,156,0.0511475287154023,"DBSCAN",0.000149721224485806,21.6979723069935,11.5109849866194,22.0573717383079,74.6265894893289,23.0219699732388,11.1553975551916,17.9813693788975,1.13013332523665,0.000205543937929963,15.8051218410008
"54",54,"54",582.207,39,22,1,16,50,28,156,0.0597859016186458,"DBSCAN",0.000175007837566081,19.6441943914429,22.5919669914487,10.1255461711542,31.9219542191162,18.5369985570861,9.17651089680381,15.9530196974983,1.01038017818787,0.000183763734767866,18.7081960731641
"55",55,"55",282.598,21,26,0,16,35,8,106,0.0481377833871767,"DBSCAN",0.000140910969772626,11.842368722234,15.10850272853,14.8621561619766,0,23.0224803482362,7.97789506189483,5.6609269656746,1.06444250327066,0.000193596365080612,8.619581573033
"56",56,"56",100.78,6,8,0,6,17,14,51,0.0177351351226673,"DBSCAN",5.19150428901828e-05,11.4629246019114,11.7166908129002,12.4122366146809,0,23.4333816258004,10.5177000976082,26.8891570196142,0.241015590768064,4.38349109107201e-05,13.5758966994872
"57",57,"57",176.782,14,10,0,11,20,5,60,0.0383318653091722,"DBSCAN",0.000112206668729745,9.30322817860132,12.6490032211141,7.17851491703985,0,19.8770050617508,5.72501205723966,4.443177918788,0.699640446524343,0.000127247687774872,8.20356157826925
"58",58,"58",310.444,15,7,0,9,145,12,188,0.0406228270805488,"DBSCAN",0.000118912869601526,15.4158938038208,12.7881975290192,4.74157316678059,0,15.345837034823,39.1655492640533,10.0622419324954,0.904894738996271,0.000164578482832061,11.1384437269075
"59",59,"59",1453.334,130,29,0,38,212,51,460,0.15941480651659,"DBSCAN",0.000466645811289106,18.3904501962035,28.2424856560586,5.00568944318565,0,16.5109916143112,14.5919579001954,10.8974572233442,5.71583120192812,0.00103957155103027,8.25515717823775
"60",60,"60",589.939,16,36,3,6,17,14,92,0.0365616737628129,"DBSCAN",0.000107024888640817,32.5489229316014,15.1559140758777,27.0938668546137,156.597000465563,11.3669355569083,5.10186797302743,13.0432440311996,0.44124809297077,8.02523636884231e-05,43.4073800699243
"61",61,"61",832.795,81,14,0,22,73,27,217,0.0411189664968967,"DBSCAN",0.000120365190032188,40.8555914671607,68.223037158175,9.36872315885835,0,37.0594275920951,19.4799139095925,22.3668706925994,1.5652701076258,0.00028468480192644,17.2738094817331
"62",62,"Beacon Junius+",539.113,28,55,0,13,171,49,316,0.84,"TAAG",0.00245888377653336,1.29466110783779,1.15442830420722,1.80168127149905,0,1.07196913962099,2.23369148054917,1.98701180448948,20.401726248877,0.00371058092007433,0.857930675207395
"63",63,"Beltline Preston+",886.611,37,40,2,17,204,48,348,0.86,"TAAG",0.00251742862835559,2.07964998571552,1.49001792752327,1.2798412414877,4.4383321265558,1.36920566312949,2.6027837080573,1.90119401891352,14.4961521404168,0.00263649972019823,1.98572765659383
