id,date,deaths,highlight
AGO,2020-06-18,8,FALSE
AGO,2020-06-19,8,FALSE
AGO,2020-06-20,9,FALSE
AGO,2020-06-21,9,FALSE
AGO,2020-06-22,10,FALSE
AGO,2020-06-23,10,FALSE
AGO,2020-06-24,10,FALSE
AGO,2020-06-25,10,FALSE
AGO,2020-06-26,10,FALSE
AGO,2020-06-27,10,FALSE
AGO,2020-06-28,11,FALSE
AGO,2020-06-29,11,FALSE
AGO,2020-06-30,13,FALSE
AGO,2020-07-01,15,FALSE
AGO,2020-07-02,17,FALSE
AGO,2020-07-03,18,FALSE
AGO,2020-07-04,19,FALSE
AGO,2020-07-05,19,FALSE
AGO,2020-07-06,19,FALSE
AGO,2020-07-07,21,FALSE
AGO,2020-07-08,21,FALSE
AGO,2020-07-09,22,FALSE
AGO,2020-07-10,23,FALSE
AGO,2020-07-11,23,FALSE
AGO,2020-07-12,26,FALSE
AGO,2020-07-13,26,FALSE
AGO,2020-07-14,26,FALSE
AGO,2020-07-15,27,FALSE
AGO,2020-07-16,28,FALSE
AGO,2020-07-17,29,FALSE
AGO,2020-07-18,29,FALSE
AGO,2020-07-19,29,FALSE
AGO,2020-07-20,29,FALSE
AGO,2020-07-21,30,FALSE
AGO,2020-07-22,33,FALSE
AGO,2020-07-23,33,FALSE
AGO,2020-07-24,35,FALSE
AGO,2020-07-25,39,FALSE
AGO,2020-07-26,40,FALSE
AGO,2020-07-27,41,FALSE
AGO,2020-07-28,47,FALSE
AGO,2020-07-29,48,FALSE
AGO,2020-07-30,51,FALSE
AGO,2020-07-31,52,FALSE
AGO,2020-08-01,54,FALSE
AGO,2020-08-02,55,FALSE
AGO,2020-08-03,58,FALSE
AGO,2020-08-04,59,FALSE
AGO,2020-08-05,62,FALSE
AGO,2020-08-06,64,FALSE
AGO,2020-08-07,67,FALSE
AGO,2020-08-08,70,FALSE
AGO,2020-08-09,75,FALSE
AGO,2020-08-10,78,FALSE
AGO,2020-08-11,80,FALSE
AGO,2020-08-12,80,FALSE
AGO,2020-08-13,80,FALSE
AGO,2020-08-14,86,FALSE
AGO,2020-08-15,86,FALSE
AGO,2020-08-16,88,FALSE
AGO,2020-08-17,88,FALSE
AGO,2020-08-18,90,FALSE
AGO,2020-08-19,92,FALSE
AGO,2020-08-20,93,FALSE
AGO,2020-08-21,94,FALSE
AGO,2020-08-22,94,FALSE
AGO,2020-08-23,96,FALSE
AGO,2020-08-24,100,FALSE
AGO,2020-08-25,102,FALSE
AGO,2020-08-26,103,FALSE
AGO,2020-08-27,105,FALSE
AGO,2020-08-28,106,FALSE
AGO,2020-08-29,107,FALSE
AGO,2020-08-30,107,FALSE
AGO,2020-08-31,108,FALSE
AGO,2020-09-01,109,FALSE
AGO,2020-09-02,112,FALSE
AGO,2020-09-03,113,FALSE
AGO,2020-09-04,115,FALSE
AGO,2020-09-05,117,FALSE
AGO,2020-09-06,117,FALSE
AGO,2020-09-07,120,FALSE
AGO,2020-09-08,124,FALSE
AGO,2020-09-09,126,FALSE
AGO,2020-09-10,130,FALSE
AGO,2020-09-11,131,FALSE
AGO,2020-09-12,132,FALSE
AGO,2020-09-13,134,FALSE
AGO,2020-09-14,136,FALSE
AGO,2020-09-15,139,FALSE
AGO,2020-09-16,143,FALSE
AGO,2020-09-17,144,FALSE
AGO,2020-09-18,147,FALSE
AGO,2020-09-19,147,FALSE
AGO,2020-09-20,152,FALSE
AGO,2020-09-21,154,FALSE
AGO,2020-09-22,155,FALSE
AGO,2020-09-23,159,FALSE
AGO,2020-09-24,162,FALSE
AGO,2020-09-25,167,FALSE
AGO,2020-09-26,171,FALSE
AGO,2020-09-27,174,FALSE
AGO,2020-09-28,176,FALSE
AGO,2020-09-29,179,FALSE
AGO,2020-09-30,183,FALSE
AGO,2020-10-01,185,FALSE
AGO,2020-10-02,189,FALSE
AGO,2020-10-03,193,FALSE
AGO,2020-10-04,195,FALSE
AGO,2020-10-05,199,FALSE
AGO,2020-10-06,211,FALSE
AGO,2020-10-07,211,FALSE
AGO,2020-10-08,208,FALSE
AGO,2020-10-09,212,FALSE
AGO,2020-10-10,218,FALSE
AGO,2020-10-11,218,FALSE
AGO,2020-10-12,219,FALSE
AGO,2020-10-13,222,FALSE
AGO,2020-10-14,227,FALSE
AGO,2020-10-15,228,FALSE
AGO,2020-10-16,234,FALSE
AGO,2020-10-17,241,FALSE
AGO,2020-10-18,247,FALSE
AGO,2020-10-19,248,FALSE
